DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON,TENDON
Abies canadensis,"uterus displacement,sore feel fundus,better pressure",,,,,,,,,,"wants to lie down all time ,allways",,,,thinks womb soft and feeble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetic Acid,,,,"breast enlarged painfully, distended with milk",,excess catamenia or menstruation,,,,,anaemia nursing mothers,,,"milk impovershed,bluish,transparent,sour",,Nausea pregnency,Haemorrhage after labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitum Nepllus,"sharp shooting pain in uterus,womb","ovaries conjested,painfull",,,"vagina dry,hot sensitive","menses too profuse with nosebleed,too protracted,late",,,,,frenzy on appearance menses,,,,,,,"suppressed from fright,cold,plethoric subjects",after with pains with fear and restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus Hippocastanum,,,,,,,leucorrhoea with lameness back across sacro ilac articulation,,,,"leucorrhoea dark yellow sticky corroding,worse after menses",,,,constant throbb behind symphysis pubis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aethusa cynapium,,,,swelling mammary gland with lancinating pain,,menses watery,,,,,,,,,lancinating pain in sexual organs,,,,,"Pimples,itch in warm warm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agaricus muscarius,,,,"nipples itch,burn",,"menses ,increased,earlier",leucorrhoea with much itching,,,,,,,,sexual excitement,,complaint follow parturition and coitus,,,,"itching,tearing pressive pain of  genitals and back",sever bearing down pains esp after menopause,,,,,,,,,spasmodic dysmenorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agnus Castus,,,,,,scanty menses,Relaxation genitals with leucorrhoea,,,,leucorrhoe stain yellow tranparent,,,Agalactia with sadness,,,,,Hysterical palipitaion with nose bleed,,"abhorrence sexual intercourse,sterility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aletris Farinosa,"uterus seems heavy,prolapse with pain in right inguinal region",,,,,"premature,profuse menses with labor like pains",leucorrhoea due to weakness and anaemia,,"Retarted ,scanty flow",,,,,,,,,,,,,,habitual tendency abortion,muscular pains during pregnency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allium sativum,,,,pain in swelling breast,,,,,,,,,,,,,,,,"eruption on vagina,breast,vulva during menses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
